numWeek,Date,Open,High,Low,Close,Adj Close,Volume,P/L,Average,Std,Label
1,2020/10/5,44.02,45.200001,42.32,43.389999,43.389999,61278500,-0.630001,43.664,0.942605,1
2,2020/10/12,44.5,45.84,42.669998,44.060001,44.060001,55245400,-0.439999,44.226,1.015512,1
3,2020/10/19,44.200001,53.23,44.060001,53,53,108868100,8.799999,49.498,4.383981,0
4,2020/10/26,53.450001,68.93,48.57,58.950001,58.950001,262464600,5.5,57.77,6.791654,0
5,2020/11/2,59,65.470001,56.310001,64.739998,64.739998,106762200,5.739998,62.052,3.699153,0
6,2020/11/9,61,62.627998,52.060001,62.32,62.32,83478500,1.32,60.0656,4.042109,0
7,2020/11/16,61.48,67.599998,59.119999,66.849998,66.849998,49367900,5.369998,64.38,3.424844,0
8,2020/11/23,67.599998,70.110001,62.43,69.720001,69.720001,45644000,2.120003,67.916,2.881615,0
9,2020/11/30,70.25,71.370003,65.010002,67.309998,67.309998,50044300,-2.940002,68.25,2.280316,1
10,2020/12/7,68.279999,72.879997,66.599998,71.129997,71.129997,41623100,2.849998,70.004,2.252399,0
11,2020/12/14,72.169998,72.68,68.68,70.360001,70.360001,43828600,-1.809997,70.85,1.433903,1
12,2020/12/21,69.610001,75.441002,68.349998,71.040001,71.040001,37458800,1.43,71.0962,2.393075,0
13,2020/12/28,72,72.480003,65.449997,65.900002,65.900002,30242900,-6.099998,68.346,3.187298,1
14,2021/1/4,66,73.57,64.5,71.870003,71.870003,47799700,5.870003,69.562,3.60637,0
15,2021/1/11,70.809998,76.879997,68.919998,69.75,69.75,48519200,-1.059998,71.222,2.891901,1
16,2021/1/18,71.75,75.400002,69.580002,73.080002,73.080002,33463300,1.330002,72.578,1.904798,0
17,2021/1/25,74.459999,75.07,62.150002,68.510002,68.510002,70683500,-5.949997,69.74,4.718499,1
18,2021/2/1,69.610001,86.490997,68.550003,81.959999,81.959999,108830500,12.349998,77.7142,7.249087,0
19,2021/2/8,81.43,87.374001,77.940002,84.040001,84.040001,90964300,2.610001,82.9648,3.14189,0
20,2021/2/15,86.550003,89.900002,83.629997,85.900002,85.900002,45916400,-0.650001,86.376,2.022006,1
21,2021/2/22,85,86.830002,70.599998,80.580002,80.580002,64961600,-4.419998,80.718,5.62324,1
22,2021/3/1,82.57,85.099998,60.330002,68.139999,68.139999,75304500,-14.430001,72.856,9.440966,1
23,2021/3/8,68.550003,72.279999,62.310001,71.75,71.75,62439400,3.199997,69.328,3.749775,0
24,2021/3/15,72.300003,75.629997,69.110001,73.010002,73.010002,55186900,0.709999,72.612,2.087413,0
25,2021/3/22,71.800003,73.25,65.5,69.07,69.07,56344100,-2.730003,69.738,2.662296,1
26,2021/3/29,68.839996,78.670998,67.529999,77.730003,77.730003,37522700,8.890007,74.1002,4.859638,0
27,2021/4/5,79.370003,86.113998,77.830002,85.529999,85.529999,50227900,6.159996,82.8748,3.530613,0
28,2021/4/12,85.003998,88.830002,75.309998,76.220001,76.220001,68359700,-8.783997,80.3168,5.533173,1
29,2021/4/19,75.599998,75.889999,69.849998,74.989998,74.989998,63783400,-0.61,74.264,2.234561,1
30,2021/4/26,74.889999,78.629997,65.360001,66.370003,66.370003,125512800,-8.519996,70.324,5.399026,1
31,2021/5/3,66.709999,67.370003,57.049999,59.860001,59.860001,91511200,-6.849998,62.17,4.111891,1
32,2021/5/10,58.509998,60.34,53.939999,58.049999,58.049999,73880600,-0.459999,57.778,2.096563,1
33,2021/5/17,57.5,61.98,56.130001,60.860001,60.860001,44799100,3.360001,59.466,2.245026,0
34,2021/5/24,61.259998,65.849998,60.77,65.300003,65.300003,47755500,4.040005,63.696,2.203676,0
35,2021/5/31,66,66.629997,62.419998,62.889999,62.889999,24762200,-3.110001,64.166,1.774244,1
