f1,f2,f3,f4,f5,f6,f7,f8
17.63,15.98,0.8673,6.191,3.561,4.076,6.06,0
16.84,15.67,0.8623,5.998,3.484,4.675,5.877,0
17.26,15.73,0.8763,5.978,3.594,4.539,5.791,0
19.11,16.26,0.9081,6.154,3.93,2.936,6.079,0
16.82,15.51,0.8786,6.017,3.486,4.004,5.841,1
16.77,15.62,0.8638,5.927,3.438,4.92,5.795,1
17.32,15.91,0.8599,6.064,3.403,3.824,5.922,1
20.71,17.23,0.8763,6.579,3.814,4.451,6.451,0
18.94,16.49,0.875,6.445,3.639,5.064,6.362,1
17.12,15.55,0.8892,5.85,3.566,2.858,5.746,0
16.53,15.34,0.8823,5.875,3.467,5.532,5.88,0
18.72,16.19,0.8977,6.006,3.857,5.324,5.879,1
20.2,16.89,0.8894,6.285,3.864,5.173,6.187,1
19.57,16.74,0.8779,6.384,3.772,1.472,6.273,0
19.51,16.71,0.878,6.366,3.801,2.962,6.185,0
18.27,16.09,0.887,6.173,3.651,2.443,6.197,1
18.88,16.26,0.8969,6.084,3.764,1.649,6.109,0
18.98,16.66,0.859,6.549,3.67,3.691,6.498,0
21.18,17.21,0.8989,6.573,4.033,5.78,6.231,0
20.88,17.05,0.9031,6.45,4.032,5.016,6.321,0
20.1,16.99,0.8746,6.581,3.785,1.955,6.449,1
18.76,16.2,0.8984,6.172,3.796,3.12,6.053,1
18.81,16.29,0.8906,6.272,3.693,3.237,6.053,1
18.59,16.05,0.9066,6.037,3.86,6.001,5.877,0
18.36,16.52,0.8452,6.666,3.485,4.933,6.448,0
16.87,15.65,0.8648,6.139,3.463,3.696,5.967,0
19.31,16.59,0.8815,6.341,3.81,3.477,6.238,1
18.98,16.57,0.8687,6.449,3.552,2.144,6.453,1
18.17,16.26,0.8637,6.271,3.512,2.853,6.273,0
18.72,16.34,0.881,6.219,3.684,2.188,6.097,1
16.41,15.25,0.8866,5.718,3.525,4.217,5.618,1
17.99,15.86,0.8992,5.89,3.694,2.068,5.837,1
19.46,16.5,0.8985,6.113,3.892,4.308,6.009,0
19.18,16.63,0.8717,6.369,3.681,3.357,6.229,1
18.95,16.42,0.8829,6.248,3.755,3.368,6.148,1
18.83,16.29,0.8917,6.037,3.786,2.553,5.879,1
18.85,16.17,0.9056,6.152,3.806,2.843,6.2,1
17.63,15.86,0.88,6.033,3.573,3.747,5.929,0
19.94,16.92,0.8752,6.675,3.763,3.252,6.55,1
18.55,16.22,0.8865,6.153,3.674,1.738,5.894,0
18.45,16.12,0.8921,6.107,3.769,2.235,5.794,0
19.38,16.72,0.8716,6.303,3.791,3.678,5.965,0
19.13,16.31,0.9035,6.183,3.902,2.109,5.924,1
19.14,16.61,0.8722,6.259,3.737,6.682,6.053,0
20.97,17.25,0.8859,6.563,3.991,4.677,6.316,0
19.06,16.45,0.8854,6.416,3.719,2.248,6.163,0
18.96,16.2,0.9077,6.051,3.897,4.334,5.75,1
19.15,16.45,0.889,6.245,3.815,3.084,6.185,0
18.89,16.23,0.9008,6.227,3.769,3.639,5.966,0
