Date,Open,High,Low,Close,Adj Close,Volume
2020-09-21,38.759998,39.959999,38.189999,39.900002,39.900002,9279400
2020-09-28,41.110001,44.799999,40.060001,43.820000,43.820000,79684200
2020-10-05,44.020000,45.200001,42.320000,43.389999,43.389999,61278500
2020-10-12,44.500000,45.840000,42.669998,44.060001,44.060001,55245400
2020-10-19,44.200001,53.230000,44.060001,53.000000,53.000000,108868100
2020-10-26,53.450001,68.930000,48.570000,58.950001,58.950001,262464600
2020-11-02,59.000000,65.470001,56.310001,64.739998,64.739998,106762200
2020-11-09,61.000000,62.627998,52.060001,62.320000,62.320000,83478500
2020-11-16,61.480000,67.599998,59.119999,66.849998,66.849998,49367900
2020-11-23,67.599998,70.110001,62.430000,69.720001,69.720001,45644000
2020-11-30,70.250000,71.370003,65.010002,67.309998,67.309998,50044300
2020-12-07,68.279999,72.879997,66.599998,71.129997,71.129997,41623100
2020-12-14,72.169998,72.680000,68.680000,70.360001,70.360001,43828600
2020-12-21,69.610001,75.441002,68.349998,71.040001,71.040001,37458800
2020-12-28,72.000000,72.480003,65.449997,65.900002,65.900002,30242900
2021-01-04,66.000000,73.570000,64.500000,71.870003,71.870003,47799700
2021-01-11,70.809998,76.879997,68.919998,69.750000,69.750000,48519200
2021-01-18,71.750000,75.400002,69.580002,73.080002,73.080002,33463300
2021-01-25,74.459999,75.070000,62.150002,68.510002,68.510002,70683500
2021-02-01,69.610001,86.490997,68.550003,81.959999,81.959999,108830500
2021-02-08,81.430000,87.374001,77.940002,84.040001,84.040001,90964300
2021-02-15,86.550003,89.900002,83.629997,85.900002,85.900002,45916400
2021-02-22,85.000000,86.830002,70.599998,80.580002,80.580002,64961600
2021-03-01,82.570000,85.099998,60.330002,68.139999,68.139999,75304500
2021-03-08,68.550003,72.279999,62.310001,71.750000,71.750000,62439400
2021-03-15,72.300003,75.629997,69.110001,73.010002,73.010002,55186900
2021-03-22,71.800003,73.250000,65.500000,69.070000,69.070000,56344100
2021-03-29,68.839996,78.670998,67.529999,77.730003,77.730003,37522700
2021-04-05,79.370003,86.113998,77.830002,85.529999,85.529999,50227900
2021-04-12,85.003998,88.830002,75.309998,76.220001,76.220001,68359700
2021-04-19,75.599998,75.889999,69.849998,74.989998,74.989998,63783400
2021-04-26,74.889999,78.629997,65.360001,66.370003,66.370003,125512800
2021-05-03,66.709999,67.370003,57.049999,59.860001,59.860001,91511200
2021-05-10,58.509998,60.340000,53.939999,58.049999,58.049999,73880600
2021-05-17,57.500000,61.980000,56.130001,60.860001,60.860001,44799100
2021-05-24,61.259998,65.849998,60.770000,65.300003,65.300003,47755500
2021-05-31,66.000000,66.629997,62.419998,62.889999,62.889999,24762200
2021-06-07,62.880001,69.080002,62.020000,68.180000,68.180000,39932500
2021-06-14,68.500000,74.580002,67.945000,74.190002,74.190002,67223500
2021-06-21,73.139999,77.459999,70.019997,76.839996,76.839996,55805500
2021-06-28,77.330002,80.540001,76.769997,79.309998,79.309998,33024000
2021-07-05,79.400002,81.769997,74.120003,76.989998,76.989998,33429000
2021-07-12,77.230003,77.889999,68.379997,68.730003,68.730003,47697900
2021-07-19,67.320000,77.919998,66.169998,76.910004,76.910004,46445900
2021-07-26,76.150002,77.290001,58.009998,58.900002,58.900002,125140700
2021-08-02,59.305000,60.939999,56.810001,58.779999,58.779999,84907300
2021-08-09,58.645000,59.410000,55.669998,56.060001,56.060001,46068800
2021-08-16,56.099998,56.631001,51.950001,53.860001,53.860001,45343000
2021-08-23,53.919998,57.779999,53.801998,57.220001,57.220001,37297000
2021-08-30,56.810001,58.160000,55.360001,56.590000,56.590000,41013500
2021-09-06,56.700001,56.939999,53.889999,54.240002,54.240002,25445300
2021-09-13,54.250000,55.590000,52.639999,54.770000,54.770000,33075500
2021-09-20,53.750000,55.090000,51.349998,54.200001,54.200001,39338400
2021-09-27,53.450001,54.029999,50.310001,52.619999,52.619999,34513600
2021-10-04,52.290001,52.904999,49.009998,51.639999,51.639999,36618700
2021-10-11,51.349998,53.400002,50.310001,52.669998,52.669998,29014100
2021-10-18,51.660000,66.000000,51.650002,58.060001,58.060001,178501800
2021-10-25,49.639999,51.389999,44.040001,44.639999,44.639999,116960800
2021-11-01,44.500000,46.980000,43.299999,46.220001,46.220001,72516800
2021-11-08,46.180000,47.910000,44.880001,45.959999,45.959999,39206400
2021-11-15,46.500000,49.095001,44.349998,44.759998,44.759998,42086100
2021-11-22,44.599998,44.660000,40.930000,42.799999,42.799999,37733600
2021-11-29,42.869999,43.240002,35.130001,35.840000,35.840000,62598500
2021-12-06,35.040001,41.230000,34.560001,37.259998,37.259998,42227600
2021-12-13,36.990002,37.349998,34.070000,36.509998,36.509998,57051000
2021-12-20,35.650002,38.599998,35.279999,37.419998,37.419998,39701300
2021-12-27,37.020000,38.625000,35.049999,36.349998,36.349998,36966400
2022-01-03,36.799999,36.950001,31.610001,32.419998,32.419998,65029500
2022-01-10,31.700001,35.040001,31.014999,32.830002,32.830002,45334900
2022-01-17,32.285000,33.790001,29.190001,29.450001,29.450001,39444100
2022-01-24,28.549999,31.160000,25.969999,26.840000,26.840000,90277700
2022-01-31,27.120001,30.268000,24.010000,27.250000,27.250000,121300800
2022-02-07,27.020000,28.070000,25.230000,25.400000,25.400000,114476400
2022-02-14,25.299999,25.988001,23.610001,23.860001,23.860001,58702700
2022-02-21,23.480000,26.370001,22.309999,26.350000,26.350000,50241000
2022-02-28,26.290001,27.110001,23.760000,24.180000,24.180000,51896700
2022-03-07,24.170000,25.469999,22.340000,23.080000,23.080000,53827200
2022-03-14,22.690001,26.450001,21.920000,26.320000,26.320000,56675800
2022-03-21,26.129999,26.879999,24.959999,25.490000,25.490000,37479800
2022-03-28,25.530001,26.805000,24.510000,24.809999,24.809999,48102600
2022-04-04,25.500000,27.950001,22.790001,23.549999,23.549999,58032900
2022-04-11,23.139999,24.000000,22.090000,22.160000,22.160000,34992600
2022-04-18,22.129999,22.969999,19.469999,19.590000,19.590000,68878800
2022-04-25,19.469999,21.719999,18.320000,20.520000,20.520000,98371700
2022-05-02,20.559999,24.308001,20.334999,22.690001,22.690001,80478100
2022-05-09,22.150000,22.620001,18.325001,21.469999,21.469999,73718700
2022-05-16,21.100000,23.580000,20.924999,22.910000,22.910000,69483900
2022-05-23,22.780001,22.780001,16.139999,20.450001,20.450001,132987800
2022-05-30,20.270000,20.535000,18.559999,19.459999,19.459999,65558400
2022-06-06,19.719999,21.120001,19.139999,19.240000,19.240000,50783800
